"flybase_gene_ID" "t0" "t1" "t2" "t4" "t8" "t16" "t24"
"178" "FBgn0000557" 190 155 102 178 111 50 74
"179" "FBgn0000559" 1516940 1554735 1884143 2271425 1890648 747879 683068
"180" "FBgn0000560" 1 0 0 0 0 0 0
"181" "FBgn0000562" 4260 3196 2216 2152 1375 1130 2888
"182" "FBgn0000564" 0 0 1 0 0 0 0
"183" "FBgn0000565" 6489 5243 3689 2080 1164 1275 1968
"184" "FBgn0000566" 28965 30075 33450 35191 27723 10237 6243
"185" "FBgn0000567" 631 170 88 129 131 148 645
"186" "FBgn0000568" 3318 603 196 730 826 492 2192
"187" "FBgn0000575" 4403 570 163 691 696 911 2204
"188" "FBgn0000576" 0 0 0 0 0 0 0
"189" "FBgn0000577" 0 0 0 0 0 0 1
"190" "FBgn0000578" 3166 1870 571 1642 1457 1448 5575
"191" "FBgn0000579" 37125 33369 32840 33344 20891 10867 20760
"192" "FBgn0000581" 5645 3002 1554 2090 1449 1197 4046
"193" "FBgn0000588" 5431 2077 1112 572 499 432 1159
"194" "FBgn0000591" 0 0 0 0 0 0 0
"195" "FBgn0000592" 12 5 17 12 11 14 13
"196" "FBgn0000594" 0 0 0 0 0 0 0
"197" "FBgn0000606" 1 0 0 1 1 0 0
"198" "FBgn0000611" 15151 13436 8461 9179 2909 1844 4002
"199" "FBgn0000615" 3342 2384 1623 1448 749 504 976
"200" "FBgn0000617" 11209 10501 8432 7087 2295 1169 2393
"201" "FBgn0000618" 362 293 189 358 384 344 772
"202" "FBgn0000625" 0 0 0 1 1 0 0
"203" "FBgn0000629" 10271 7147 4439 2626 1507 1389 3220
"204" "FBgn0000633" 41 27 21 37 13 8 8
"205" "FBgn0000635" 253 187 63 111 53 38 56
"206" "FBgn0000636" 27 16 10 41 16 10 24
"207" "FBgn0000639" 0 0 0 0 1 1 0
"208" "FBgn0000640" 2 2 4 3 12 18 0
"209" "FBgn0000644" 8 4 1 1 4 1 6
"210" "FBgn0000658" 5 1 0 2 0 12 1
"211" "FBgn0000659" 0 0 0 1 0 0 0
"212" "FBgn0000662" 6756 3206 1229 1307 1125 1110 2847
"213" "FBgn0000667" 2969 2591 1747 2587 1838 1138 4309
